date,start,max,min,end,dekidaka,owarine_syusei
"2012-04-10","3515","3520","3480","3510","2183100","3510"
"2012-04-11","3475","3490","3450","3450","2760300","3450"
"2012-04-12","3440","3460","3400","3435","4788500","3435"
"2012-04-13","3445","3470","3440","3460","3402500","3460"
"2012-04-16","3445","3495","3440","3480","1641300","3480"
"2012-04-17","3475","3480","3450","3460","1602400","3460"
"2012-04-18","3505","3520","3490","3510","1578600","3510"
"2012-04-19","3480","3485","3450","3450","1577600","3450"
"2012-04-20","3450","3465","3430","3435","1317700","3435"
"2012-04-23","3480","3510","3470","3505","2322300","3505"
"2012-04-24","3480","3515","3480","3490","1636700","3490"
"2012-04-25","3545","3545","3515","3530","1531700","3530"
"2012-04-26","3575","3600","3460","3550","5772100","3550"
"2012-04-27","3550","3555","3485","3485","3491600","3485"
"2012-05-01","3515","3535","3470","3470","1454500","3470"
"2012-05-02","3485","3510","3480","3495","1380600","3495"
"2012-05-07","3425","3450","3420","3440","2186400","3440"
"2012-05-08","3450","3475","3440","3455","1468800","3455"
"2012-05-09","3445","3455","3430","3440","1679400","3440"
"2012-05-10","3430","3445","3410","3410","1792200","3410"
"2012-05-11","3425","3430","3400","3400","1735300","3400"
"2012-05-14","3345","3345","3225","3290","5263500","3290"
"2012-05-15","3275","3340","3265","3315","3042900","3315"
"2012-05-16","3300","3355","3290","3355","2726300","3355"
"2012-05-17","3330","3345","3290","3300","2001300","3300"
"2012-05-18","3275","3300","3250","3250","2481800","3250"
"2012-05-21","3270","3285","3260","3260","1505200","3260"
"2012-05-22","3270","3275","3255","3265","1930800","3265"
"2012-05-23","3275","3275","3255","3255","1851700","3255"
"2012-05-24","3255","3260","3225","3225","1891800","3225"
"2012-05-25","3270","3310","3260","3300","1990100","3300"
"2012-05-28","3300","3320","3285","3300","1432400","3300"
"2012-05-29","3295","3300","3245","3265","1771300","3265"
"2012-05-30","3250","3275","3250","3265","1610800","3265"
"2012-05-31","3240","3285","3235","3275","2840700","3275"
"2012-06-01","3250","3345","3250","3335","2851500","3335"
"2012-06-04","3285","3365","3285","3355","3223800","3355"
"2012-06-05","3350","3355","3315","3345","1963200","3345"
"2012-06-06","3325","3350","3310","3320","2375000","3320"
"2012-06-07","3340","3365","3310","3360","2224500","3360"
"2012-06-08","3355","3355","3315","3340","4181700","3340"
"2012-06-11","3370","3370","3320","3325","1834300","3325"
"2012-06-12","3315","3320","3290","3300","2007800","3300"
"2012-06-13","3310","3340","3295","3335","1444900","3335"
"2012-06-14","3340","3350","3320","3340","1368500","3340"
"2012-06-15","3340","3355","3330","3340","1492800","3340"
"2012-06-18","3360","3380","3350","3355","1457900","3355"
"2012-06-19","3370","3380","3360","3370","1180100","3370"
"2012-06-20","3395","3440","3385","3425","2410400","3425"
"2012-06-21","3425","3485","3425","3470","2526600","3470"
"2012-06-22","3480","3505","3460","3490","1771600","3490"
"2012-06-25","3500","3520","3485","3495","1666300","3495"
"2012-06-26","3470","3500","3470","3475","2028000","3475"
"2012-06-27","3495","3505","3475","3505","1270800","3505"
"2012-06-28","3540","3570","3530","3570","1859200","3570"
"2012-06-29","3570","3625","3560","3615","2307300","3615"
"2012-07-02","3630","3630","3600","3620","1213200","3620"
"2012-07-03","3630","3660","3625","3655","1873200","3655"
"2012-07-04","3660","3670","3650","3660","1222800","3660"
"2012-07-05","3640","3645","3605","3620","1590700","3620"
"2012-07-06","3605","3625","3575","3595","1548700","3595"
"2012-07-09","3555","3635","3550","3620","1851000","3620"
"2012-07-10","3640","3645","3610","3610","1634800","3610"
"2012-07-11","3605","3610","3580","3605","1584900","3605"
"2012-07-12","3610","3625","3590","3620","1768200","3620"
"2012-07-13","3605","3615","3600","3600","2011200","3600"
"2012-07-17","3620","3660","3615","3660","1796400","3660"
"2012-07-18","3665","3690","3650","3680","2299800","3680"
"2012-07-19","3675","3680","3650","3655","1547100","3655"
"2012-07-20","3640","3645","3600","3600","1853900","3600"
"2012-07-23","3575","3640","3570","3575","1585900","3575"
"2012-07-24","3590","3615","3575","3580","1812400","3580"
"2012-07-25","3575","3605","3565","3570","2080000","3570"
"2012-07-26","3575","3585","3550","3585","1674700","3585"
"2012-07-27","3600","3600","3560","3580","1651300","3580"
"2012-07-30","3590","3645","3585","3640","2068400","3640"
"2012-07-31","3595","3615","3580","3600","1725900","3600"
"2012-08-01","3625","3655","3615","3650","1897100","3650"
"2012-08-02","3645","3655","3620","3620","1701600","3620"
"2012-08-03","3605","3630","3590","3620","1834600","3620"
"2012-08-06","3650","3655","3630","3650","1258600","3650"
"2012-08-07","3640","3670","3635","3670","999500","3670"
"2012-08-08","3675","3690","3660","3675","2161600","3675"
"2012-08-09","3665","3685","3640","3685","1549600","3685"
"2012-08-10","3675","3680","3655","3655","1224400","3655"
"2012-08-13","3660","3670","3655","3655","497700","3655"
"2012-08-14","3655","3670","3635","3650","1755600","3650"
"2012-08-15","3665","3670","3640","3665","1166100","3665"
"2012-08-16","3665","3670","3655","3670","1085700","3670"
"2012-08-17","3665","3685","3660","3680","1441400","3680"
"2012-08-20","3690","3715","3685","3695","1633700","3695"
"2012-08-21","3710","3715","3700","3705","771700","3705"
"2012-08-22","3715","3720","3700","3720","1271400","3720"
"2012-08-23","3710","3730","3705","3730","1538400","3730"
"2012-08-24","3715","3735","3715","3725","1092400","3725"
"2012-08-27","3735","3745","3730","3730","1133000","3730"
"2012-08-28","3745","3745","3710","3720","1757300","3720"
"2012-08-29","3730","3730","3675","3695","1720700","3695"
"2012-08-30","3680","3680","3655","3665","1729900","3665"
"2012-08-31","3650","3695","3640","3670","1900800","3670"
"2012-09-03","3655","3660","3615","3625","2220300","3625"
"2012-09-04","3640","3640","3600","3605","1852700","3605"
"2012-09-05","3615","3665","3615","3640","1636700","3640"
"2012-09-06","3665","3665","3620","3640","1844900","3640"
"2012-09-07","3680","3685","3640","3660","2010600","3660"
"2012-09-10","3640","3645","3620","3640","1231600","3640"
"2012-09-11","3640","3665","3620","3640","1528500","3640"
"2012-09-12","3640","3690","3635","3685","1444600","3685"
"2012-09-13","3685","3700","3670","3700","991200","3700"
"2012-09-14","3710","3720","3685","3695","3422400","3695"
"2012-09-18","3725","3730","3710","3725","1663300","3725"
"2012-09-19","3730","3745","3715","3735","1801600","3735"
"2012-09-20","3730","3745","3725","3725","2044400","3725"
"2012-09-21","3740","3745","3730","3735","1656700","3735"
"2012-09-24","3740","3750","3735","3750","2101400","3750"
"2012-09-25","3740","3745","3725","3735","3296300","3735"
"2012-09-26","3575","3645","3565","3585","3910700","3585"
"2012-09-27","3570","3650","3570","3640","2783700","3640"
"2012-09-28","3630","3640","3570","3595","2663900","3595"
"2012-10-01","3570","3585","3550","3575","2076800","3575"
"2012-10-02","3580","3585","3560","3570","1178100","3570"
"2012-10-03","3555","3565","3495","3500","2312100","3500"
"2012-10-04","3495","3560","3490","3545","1689300","3545"
"2012-10-05","3580","3580","3540","3550","1170800","3550"
"2012-10-09","3550","3620","3550","3580","2018900","3580"
"2012-10-10","3550","3560","3520","3525","1874100","3525"
"2012-10-11","3515","3550","3510","3530","1822900","3530"
"2012-10-12","3530","3555","3525","3535","2490300","3535"
"2012-10-15","3525","3560","3525","3560","1586600","3560"
"2012-10-16","3580","3595","3550","3565","1523400","3565"
"2012-10-17","3590","3630","3580","3615","1558800","3615"
"2012-10-18","3635","3665","3620","3665","2159300","3665"
"2012-10-19","3645","3675","3635","3670","2047800","3670"
"2012-10-22","3640","3685","3640","3680","1561300","3680"
"2012-10-23","3655","3690","3650","3655","1863000","3655"
"2012-10-24","3610","3670","3610","3635","1974200","3635"
"2012-10-25","3645","3700","3640","3700","2074000","3700"
"2012-10-26","3680","3710","3680","3695","2023000","3695"
"2012-10-29","3695","3700","3675","3680","1221300","3680"
"2012-10-30","3670","3705","3660","3660","1853900","3660"
"2012-10-31","3690","3710","3665","3710","1951900","3710"
"2012-11-01","3680","3710","3670","3700","2072400","3700"
"2012-11-02","3720","3720","3705","3710","1868300","3710"
"2012-11-05","3690","3725","3690","3715","1196300","3715"
"2012-11-06","3705","3730","3700","3715","1275100","3715"
"2012-11-07","3725","3730","3710","3730","1720400","3730"
"2012-11-08","3705","3725","3700","3715","1724200","3715"
"2012-11-09","3700","3705","3680","3685","1472900","3685"
"2012-11-12","3660","3670","3650","3650","1210100","3650"
"2012-11-13","3640","3650","3620","3635","1442900","3635"
"2012-11-14","3640","3695","3620","3660","1602000","3660"
"2012-11-15","3660","3680","3625","3640","1826300","3640"
"2012-11-16","3630","3655","3625","3650","2023800","3650"
"2012-11-19","3655","3710","3655","3710","1947500","3710"
"2012-11-20","3730","3730","3710","3715","1624700","3715"
"2012-11-21","3720","3725","3710","3725","1339500","3725"
"2012-11-22","3730","3735","3715","3725","1187100","3725"
"2012-11-26","3730","3735","3705","3725","1814500","3725"
"2012-11-27","3735","3760","3730","3740","2384400","3740"
"2012-11-28","3730","3750","3725","3725","1401500","3725"
"2012-11-29","3730","3745","3720","3740","1154800","3740"
"2012-11-30","3745","3770","3735","3770","2088300","3770"
"2012-12-03","3775","3780","3745","3755","1120400","3755"
"2012-12-04","3760","3775","3760","3770","1190700","3770"
"2012-12-05","3760","3795","3760","3795","2023700","3795"
"2012-12-06","3805","3815","3800","3805","1738800","3805"
"2012-12-07","3820","3845","3810","3840","1992400","3840"
"2012-12-10","3870","3870","3850","3865","1869500","3865"
"2012-12-11","3865","3865","3835","3840","1475900","3840"
"2012-12-12","3860","3865","3815","3835","1443600","3835"
"2012-12-13","3850","3850","3795","3805","2671600","3805"
"2012-12-14","3810","3840","3795","3805","4687400","3805"
"2012-12-17","3835","3840","3805","3835","1999900","3835"
"2012-12-18","3835","3855","3830","3845","1938600","3845"
"2012-12-19","3860","3870","3845","3870","2139400","3870"
"2012-12-20","3875","3890","3865","3875","2859400","3875"
"2012-12-21","3890","3900","3865","3865","3016800","3865"
"2012-12-25","3885","3890","3855","3865","1650900","3865"
"2012-12-26","3880","3880","3850","3865","1444700","3865"
"2012-12-27","3875","3890","3860","3860","2499300","3860"
"2012-12-28","3875","3885","3855","3855","2026300","3855"
